"name";"display_name";"category";"unit";"price";"description"
"beer_blonde_ale";"Blonde Ale";"beer";"glass";"75";"Vårt lyse og lette alternativ for den som vanligvis velger pils, men med en mer markant bitterhet. Smak og aroma er frisk med god balanse av sødme og bitterhet. Vi mener ølet passer til: Som tørsteslukker, lette retter med lyst kjøtt eller sjømat."
"beer_brown_ale";"Brown Ale";"beer";"glass";"78";"Vår brown ale er en robost øl men allikevel et lettdrikkelig øl. Det er brukt hele seks ulike malttyper og en god porsjon amerikansk humle noe som gir dybde og spennende smaker. Med aroma og smak av nøtter og røstet malt mener vi dette er en ypperlig matøl."
"beer_black_mamba";"Black Mamba";"beer";"glass";"78";"En Black IPA med rikelig av malt preg. Røstet aroma med hint av sitrus. Har en god bitterhet i ettersmaken. Vi syntes denne her passer til det meste av grillet kjøtt."
"beer_bennys_pale_ale";"Bennys Pale Ale";"beer";"glass";"78";"En frisk og leskende pale ale med middels bitterhet og fruktig aroma. Vi syntes den passer til både grillmat og som tørsteslukker."
"beer_wake_up_and_smell";"Wake Up and Smell the Coffee";"beer";"glass";"82";"En samarbeidsbrygg med Sørlandets Kaffebrenneri. EN porter som har fått en raus porsjon kaldekstrahert spesialbrent kaffe fra El Filo i Honduras. Myk og rund med smak og aroma av røstet malt og kaffe."
"beer_miami_weiss";"Miami Weiss";"beer";"glass";"78";"Dette er en weissbier, men humlet med amerikansk Cascade humle. Noe som gjør den nesten like frekk og freidig som blazerne til Crocket og Tubs i TV-serien."
"beer_ipa";"IPA";"beer";"glass";"82";"En perfekt india pale ale har masse frisk humlearoma, gjerne med toner av tropiske frukter og blomster. Det skal være en markant men behagelig bitterhet og i bakgrunnen skal det komme en forsiktig sødme som runder det hele av. Dette mener vi å ha fått til med vår IPA!"
"beer_cb_pilsner";"CB Pilsner";"beer";"glass";"82";"Kvalitetspils fra Christiansands Bryggeri er også å finne på våre fat."
"beer_bottled_nomada_crianza";"Nómada Crianza";"beer";"bottle";"259";"Sour ale - 9% - 0.75l."
"beer_bottled_nomada_dead_munk";"Nómada Dead Munk";"beer";"bottle";"139";"Belgian Strong Ale - 10% - 0.33l"
"beer_bottled_clausthaler";"Clausthaler";"beer_nonalcoholic";"bottle";"44";"Alkoholfri pilsner - 0.0% - 0,33l"
"beer_bottled_weienstephan";"Weihenstephan Alkofrei";"beer_nonalcoholic";"bottle";"72";"Alkoholfri hveteøl - 0.0% - 0,5l"
"food_burger";"Josperburger";"food";;"210";"Røkt provolone, tørrsaltet bacon og pommes frites."
"food_entrecote";"Grillet entrecôte fra Agder";"food";;"295";"Grillede grønnsaker, rødvinsaus og ovnsstekte poteter."
"food_norsk_lam";"Norsk lam";"food";;"295";"Grillet mørbrad og lammeragu serveres med rotgrønnsaker og potetmos."
"food_ishavsroye";"Ishavsrøye";"food";;"265";"Lun linse- og artisjokksalat, beurre blanc med krabbekjøtt og husets potetmos."
"wine_house_red_glass";"Reserva de Labbe";"wine";"glass";"79";"Rhône, Frankrike. 80% Grenache, 10% Syrah, 10% Cinsault. Passer til lyst kjøtt, kylling og fiskeretter med kraftig saus."
"wine_house_red_bottle";"Reserva de Labbe";"wine";"bottle";"380";"Rhône, Frankrike. 80% Grenache, 10% Syrah, 10% Cinsault. Passer til lyst kjøtt, kylling og fiskeretter med kraftig saus."
"wine_house_white_glass";"Caldora Trebbiano d'Abruzzo";"wine";"glass";"79";"Abruzzo, Italia. 90% Trebbiano, 10% Malvasia. Passer best til fisk og lyst kjøtt."
"wine_house_white_bottle";"Caldora Trebbiano d'Abruzzo";"wine";"bottle";"380";"Abruzzo, Italia. 90% Trebbiano, 10% Malvasia. Passer best til fisk og lyst kjøtt."
"wine_house_rose_glass";"Vigne Nuove Cerasuolo Rosé";"wine";"glass";"79";"Abruzzo, Italia. 100% Montepulciano. Best til fisk, skalldyr og kylling."
"wine_house_rose_bottle";"Vigne Nuove Cerasuolo Rosé";"wine";"bottle";"380";"Abruzzo, Italia. 100% Montepulciano. Best til fisk, skalldyr og kylling."
"wine_house_prosecca_glass";"Contarini Prosecco Treviso Brut";"wine";"glass";"79";"Veneto, Italia. Musserende vin."
"wine_house_prosecca_bottle";"Contarini Prosecco Treviso Brut";"wine";"bottle";"380";"Veneto, Italia. Musserende vin."
